host_numcpu: 12
host_gomaxprocs: 12
host_goversion: go1.26.4
host_totalmem: 16.00 GB
host_timestamp: 2026-06-23T06:12:00Z
PASS
ok  	github.com/jokruger/kavun-benchmark/bench	0.466s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/goja
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkGopherLua/fib_tail-12    	  357702	      3119 ns/op	    2960 B/op	      12 allocs/op
BenchmarkGopherLua/fib_tail-12    	  375184	      3104 ns/op	    2960 B/op	      12 allocs/op
BenchmarkGopherLua/fib_tail-12    	  372181	      3111 ns/op	    2960 B/op	      12 allocs/op
BenchmarkGopherLua/loop_sum-12    	    3102	    377902 ns/op	  240624 B/op	     938 allocs/op
BenchmarkGopherLua/loop_sum-12    	    3027	    425776 ns/op	  240624 B/op	     938 allocs/op
BenchmarkGopherLua/loop_sum-12    	    3136	    377988 ns/op	  240624 B/op	     938 allocs/op
BenchmarkGopherLua/loop_sum-12    	    3106	    380313 ns/op	  240624 B/op	     938 allocs/op
BenchmarkGopherLua/loop_sum-12    	    3090	    381767 ns/op	  240624 B/op	     938 allocs/op
BenchmarkGopherLua/sum_pow-12     	    2166	    526261 ns/op	  320576 B/op	    1250 allocs/op
BenchmarkGopherLua/sum_pow-12     	    2167	    529441 ns/op	  320577 B/op	    1250 allocs/op
BenchmarkGopherLua/sum_pow-12     	    2234	    523289 ns/op	  320576 B/op	    1250 allocs/op
BenchmarkGopherLua/sum_pow-12     	    2122	    523877 ns/op	  320576 B/op	    1250 allocs/op
BenchmarkGopherLua/sum_pow-12     	    2220	    527714 ns/op	  320576 B/op	    1250 allocs/op
BenchmarkGopherLua/closure_counter-12         	   10000	    107337 ns/op	   23912 B/op	      94 allocs/op
BenchmarkGopherLua/closure_counter-12         	   10000	    108146 ns/op	   23912 B/op	      94 allocs/op
BenchmarkGopherLua/closure_counter-12         	   10000	    110956 ns/op	   23912 B/op	      94 allocs/op
BenchmarkGopherLua/closure_counter-12         	    9602	    108268 ns/op	   23912 B/op	      94 allocs/op
BenchmarkGopherLua/closure_counter-12         	   10000	    109895 ns/op	   23912 B/op	      94 allocs/op
BenchmarkGopherLua/string_concat-12           	   41918	     28186 ns/op	   28656 B/op	     413 allocs/op
BenchmarkGopherLua/string_concat-12           	   41340	     28383 ns/op	   28656 B/op	     413 allocs/op
BenchmarkGopherLua/string_concat-12           	   42415	     28275 ns/op	   28656 B/op	     413 allocs/op
BenchmarkGopherLua/string_concat-12           	   42183	     28332 ns/op	   28656 B/op	     413 allocs/op
BenchmarkGopherLua/string_concat-12           	   42085	     28338 ns/op	   28656 B/op	     413 allocs/op
BenchmarkGopherLua/string_repeat-12           	  984745	      1121 ns/op	    3000 B/op	      11 allocs/op
BenchmarkGopherLua/string_repeat-12           	  967077	      1126 ns/op	    3000 B/op	      11 allocs/op
BenchmarkGopherLua/string_repeat-12           	 1000000	      1112 ns/op	    3000 B/op	      11 allocs/op
BenchmarkGopherLua/string_repeat-12           	 1000000	      1120 ns/op	    3000 B/op	      11 allocs/op
BenchmarkGopherLua/string_repeat-12           	  943263	      1130 ns/op	    3000 B/op	      11 allocs/op
BenchmarkGopherLua/str_contains-12            	    1980	    586954 ns/op	   28760 B/op	    1077 allocs/op
BenchmarkGopherLua/str_contains-12            	    2103	    563219 ns/op	   28760 B/op	    1077 allocs/op
BenchmarkGopherLua/str_contains-12            	    2094	    564834 ns/op	   28760 B/op	    1077 allocs/op
BenchmarkGopherLua/str_contains-12            	    2053	    555078 ns/op	   28760 B/op	    1077 allocs/op
BenchmarkGopherLua/str_contains-12            	    1992	    559845 ns/op	   28759 B/op	    1077 allocs/op
BenchmarkGopherLua/array_dot-12               	    8174	    132109 ns/op	   68848 B/op	     135 allocs/op
BenchmarkGopherLua/array_dot-12               	    8244	    134505 ns/op	   68848 B/op	     135 allocs/op
BenchmarkGopherLua/array_dot-12               	    8565	    130017 ns/op	   68848 B/op	     135 allocs/op
BenchmarkGopherLua/array_dot-12               	    8793	    129784 ns/op	   68848 B/op	     135 allocs/op
BenchmarkGopherLua/array_dot-12               	    8329	    132500 ns/op	   68848 B/op	     135 allocs/op
PASS
ok  	github.com/jokruger/kavun-benchmark/bench/gopherlua	54.950s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/kavun
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkKavun/fib-12         	      73	  14985813 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib-12         	      68	  14926942 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib-12         	      75	  14806785 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib-12         	      80	  14903553 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib-12         	      79	  14882036 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib_tail-12    	  763603	      1539 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib_tail-12    	  748642	      1547 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib_tail-12    	  766060	      1528 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib_tail-12    	  679591	      1544 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/fib_tail-12    	  698451	      1537 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/loop_sum-12    	    2910	    413160 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/loop_sum-12    	    2740	    406568 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/loop_sum-12    	    2871	    404321 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/loop_sum-12    	    2925	    405684 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/loop_sum-12    	    2655	    408508 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/sum_pow-12     	    2486	    478856 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/sum_pow-12     	    2518	    475540 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/sum_pow-12     	    2521	    478448 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/sum_pow-12     	    2258	    472991 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/sum_pow-12     	    2527	    476738 ns/op	       8 B/op	       1 allocs/op
BenchmarkKavun/closure_counter-12         	   16182	     74509 ns/op	     120 B/op	       4 allocs/op
BenchmarkKavun/closure_counter-12         	   15354	     74215 ns/op	     120 B/op	       4 allocs/op
BenchmarkKavun/closure_counter-12         	   15658	     72842 ns/op	     120 B/op	       4 allocs/op
BenchmarkKavun/closure_counter-12         	   16304	     73611 ns/op	     120 B/op	       4 allocs/op
BenchmarkKavun/closure_counter-12         	   16540	     73160 ns/op	     120 B/op	       4 allocs/op
BenchmarkKavun/string_concat-12           	   46645	     25441 ns/op	   24672 B/op	     399 allocs/op
BenchmarkKavun/string_concat-12           	   46356	     25191 ns/op	   24672 B/op	     399 allocs/op
BenchmarkKavun/string_concat-12           	   46548	     25334 ns/op	   24672 B/op	     399 allocs/op
BenchmarkKavun/string_concat-12           	   47128	     25580 ns/op	   24672 B/op	     399 allocs/op
BenchmarkKavun/string_concat-12           	   47030	     25406 ns/op	   24672 B/op	     399 allocs/op
BenchmarkKavun/string_repeat-12           	 5210620	       230.2 ns/op	     224 B/op	       2 allocs/op
BenchmarkKavun/string_repeat-12           	 5161328	       228.9 ns/op	     224 B/op	       2 allocs/op
BenchmarkKavun/string_repeat-12           	 5178442	       230.2 ns/op	     224 B/op	       2 allocs/op
BenchmarkKavun/string_repeat-12           	 5193954	       232.1 ns/op	     224 B/op	       2 allocs/op
BenchmarkKavun/string_repeat-12           	 5184372	       229.9 ns/op	     224 B/op	       2 allocs/op
BenchmarkKavun/str_contains-12            	    3536	    338373 ns/op	    1048 B/op	       3 allocs/op
BenchmarkKavun/str_contains-12            	    3490	    340538 ns/op	    1048 B/op	       3 allocs/op
BenchmarkKavun/str_contains-12            	    3440	    335870 ns/op	    1048 B/op	       3 allocs/op
BenchmarkKavun/str_contains-12            	    3373	    337274 ns/op	    1048 B/op	       3 allocs/op
BenchmarkKavun/str_contains-12            	    3486	    338056 ns/op	    1048 B/op	       3 allocs/op
BenchmarkKavun/array_dot-12               	   13719	     87685 ns/op	   24728 B/op	       9 allocs/op
BenchmarkKavun/array_dot-12               	   13693	     87895 ns/op	   24728 B/op	       9 allocs/op
BenchmarkKavun/array_dot-12               	   13420	     87866 ns/op	   24728 B/op	       9 allocs/op
BenchmarkKavun/array_dot-12               	   13591	     88191 ns/op	   24728 B/op	       9 allocs/op
BenchmarkKavun/array_dot-12               	   13599	     87577 ns/op	   24728 B/op	       9 allocs/op
PASS
ok  	github.com/jokruger/kavun-benchmark/bench/kavun	64.294s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/risor
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkRisor/fib-12         	      28	  41545461 ns/op	 4206105 B/op	  243204 allocs/op
BenchmarkRisor/fib-12         	      28	  41937905 ns/op	 4205916 B/op	  243204 allocs/op
BenchmarkRisor/fib-12         	      27	  41877700 ns/op	 4205912 B/op	  243204 allocs/op
BenchmarkRisor/fib-12         	      28	  42416441 ns/op	 4205936 B/op	  243204 allocs/op
BenchmarkRisor/fib-12         	      28	  42436710 ns/op	 4205920 B/op	  243204 allocs/op
BenchmarkRisor/fib_tail-12    	   22882	     53565 ns/op	  316657 B/op	      74 allocs/op
BenchmarkRisor/fib_tail-12    	   22082	     54497 ns/op	  316657 B/op	      74 allocs/op
BenchmarkRisor/fib_tail-12    	   21835	     54244 ns/op	  316657 B/op	      74 allocs/op
BenchmarkRisor/fib_tail-12    	   21750	     54335 ns/op	  316657 B/op	      74 allocs/op
BenchmarkRisor/fib_tail-12    	   21774	     54695 ns/op	  316657 B/op	      74 allocs/op
BenchmarkRisor/loop_sum-12    	     799	   1415198 ns/op	  630595 B/op	   19762 allocs/op
BenchmarkRisor/loop_sum-12    	     836	   1415270 ns/op	  630597 B/op	   19762 allocs/op
BenchmarkRisor/loop_sum-12    	     836	   1422643 ns/op	  630596 B/op	   19762 allocs/op
BenchmarkRisor/loop_sum-12    	     843	   1421488 ns/op	  630596 B/op	   19762 allocs/op
BenchmarkRisor/loop_sum-12    	     841	   1416649 ns/op	  630597 B/op	   19762 allocs/op
BenchmarkRisor/sum_pow-12     	     652	   1816804 ns/op	  790547 B/op	   29758 allocs/op
BenchmarkRisor/sum_pow-12     	     658	   1832823 ns/op	  790547 B/op	   29758 allocs/op
